iter	Passed	Remaining
0	2	220
1	4	204
2	6	195
3	7	180
4	9	186
5	12	189
6	14	195
7	15	183
8	18	183
9	20	180
10	21	169
11	21	159
12	22	150
13	23	143
14	24	139
15	25	134
16	26	129
17	27	123
18	27	118
19	28	114
20	29	110
21	30	106
22	31	103
23	32	101
24	33	99
25	34	97
26	34	93
27	35	91
28	36	88
29	37	86
30	37	83
31	38	81
32	39	80
33	40	78
34	40	76
35	41	73
36	42	72
37	43	70
38	43	68
39	44	66
40	45	64
41	45	62
42	45	60
43	46	59
44	47	57
45	48	56
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	58	42
58	58	40
59	59	39
60	60	38
61	60	37
62	61	35
63	61	34
64	62	33
65	63	32
66	63	31
67	64	30
68	64	29
69	65	27
70	65	26
71	66	25
72	66	24
73	67	23
74	67	22
75	68	21
76	68	20
77	69	19
78	69	18
79	70	17
80	70	16
81	71	15
82	71	14
83	72	13
84	72	12
85	72	11
86	73	10
87	73	10
88	74	9
89	75	8
90	75	7
91	76	6
92	76	5
93	77	4
94	77	4
95	78	3
96	78	2
97	79	1
98	79	0
99	80	0
