iter	Passed	Remaining
0	306	305772
1	310	154776
2	312	103919
3	315	78534
4	317	63280
5	320	53064
6	324	46018
7	326	40473
8	328	36146
9	329	32667
10	331	29802
11	334	27535
12	336	25519
13	340	23948
14	341	22427
15	342	21079
16	343	19878
17	344	18812
18	346	17881
19	348	17053
20	349	16280
21	350	15600
22	352	14976
23	354	14417
24	355	13870
25	356	13369
26	358	12932
27	360	12498
28	361	12119
29	363	11745
30	367	11471
31	368	11138
32	369	10834
33	370	10540
34	372	10269
35	373	10006
36	374	9757
37	376	9522
38	377	9302
39	382	9184
40	384	8983
41	385	8796
42	387	8630
43	389	8452
44	390	8286
45	391	8123
46	392	7962
47	393	7808
48	397	7711
49	398	7571
50	399	7433
51	400	7297
52	401	7167
53	401	7041
54	403	6927
55	404	6815
56	405	6705
57	406	6595
58	406	6490
59	407	6391
60	411	6332
61	412	6242
62	413	6157
63	415	6074
64	430	6190
65	431	6109
66	433	6031
67	434	5954
68	435	5878
69	437	5817
70	439	5745
71	441	5695
72	443	5628
73	444	5566
74	447	5524
75	450	5477
76	452	5424
77	453	5365
78	455	5306
79	461	5307
80	462	5250
81	464	5195
82	464	5132
83	466	5084
84	467	5033
85	468	4983
86	470	4934
87	473	4910
88	475	4866
89	476	4818
90	477	4771
91	478	4723
92	479	4676
93	480	4630
94	482	4593
95	484	4558
96	486	4525
97	487	4486
98	488	4444
99	489	4404
100	490	4370
101	491	4331
102	493	4295
103	494	4261
104	495	4226
105	496	4189
106	497	4152
107	499	4126
108	500	4091
109	501	4055
110	501	4019
111	502	3984
112	503	3949
113	503	3915
114	504	3883
115	505	3854
116	506	3824
117	507	3795
118	508	3764
119	509	3734
120	509	3704
121	510	3673
122	511	3643
123	511	3614
124	512	3586
125	514	3565
126	514	3540
127	515	3514
128	517	3494
129	518	3469
130	519	3443
131	521	3429
132	522	3405
133	523	3380
134	523	3356
135	524	3331
136	525	3307
137	525	3284
138	526	3260
139	527	3237
140	527	3215
141	528	3194
142	529	3175
143	530	3154
144	531	3133
145	532	3112
146	532	3091
147	533	3070
148	534	3049
149	534	3030
150	535	3011
151	536	2992
152	537	2974
153	537	2955
154	538	2936
155	539	2917
156	539	2898
157	540	2880
158	541	2862
159	541	2844
160	542	2826
